inout_travelling,operator,network_type,rating,calldrop_category,latitude,longitude,state_name,month,year
Travelling,jio,4G,3,Poor Voice Quality,19.2422731,72.859278,Maharashtra,9,2017
Indoor,jio,4G,3,Satisfactory,27.65794281,94.7122816,Assam,9,2017
Outdoor,bsnl,3G,4,Satisfactory,13.08241874,80.20879819,Tamil Nadu,9,2017
Indoor,NA,Unknown,2,Call Dropped,15.4729746,73.8098152,Goa,9,2017
Indoor,jio,4G,5,Satisfactory,18.6531147,73.8354737,Maharashtra,9,2017
Outdoor,NA,4G,4,Satisfactory,19.8152591,74.2353569,Maharashtra,9,2017
Outdoor,NA,4G,3,Call Dropped,19.86213667,74.283695,Maharashtra,9,2017
Indoor,jio,4G,4,Satisfactory,-1.0,-1.0,NA,9,2017
Indoor,jio,4G,2,Poor Voice Quality,-1.0,-1.0,NA,9,2017
Outdoor,jio,4G,4,Satisfactory,-1.0,-1.0,NA,9,2017
Indoor,airtel,4G,3,Poor Voice Quality,19.1591605,73.0265096,Maharashtra,9,2017
Outdoor,jio,4G,3,Poor Voice Quality,22.8637983,88.4076611,West Bengal,9,2017
Travelling,NA,3G,5,Satisfactory,19.12296918,72.91275442,Maharashtra,9,2017
Indoor,bsnl,3G,5,Satisfactory,-1.0,-1.0,NA,9,2017
Indoor,jio,4G,5,Satisfactory,23.2681658,77.46545022,Madhya Pradesh,9,2017
Outdoor,jio,4G,4,Satisfactory,23.22761186,77.4307893,Madhya Pradesh,9,2017
Indoor,jio,4G,4,Satisfactory,23.08185249,72.56386302,Gujarat,9,2017
Indoor,bsnl,2G,2,Poor Voice Quality,-1.0,-1.0,NA,9,2017
Indoor,NA,4G,4,Satisfactory,30.34629914,76.8678174,Haryana,9,2017
Travelling,vi,2G,2,Poor Voice Quality,21.19370165,72.8167715,Gujarat,9,2017
Indoor,NA,Unknown,3,Poor Voice Quality,18.55873324,73.93911455,Maharashtra,9,2017
Travelling,airtel,Unknown,3,Poor Voice Quality,12.9721261,77.548479,Karnataka,9,2017
